Magnitude,Date,Year,Month,Day,Northing,Easting,Depth,snr
1.507995653,5:12:02 PM,2017,10,18,-8.282995,115.49423,-741,3.560398042
1.947984236,5:16:06 PM,2017,10,18,-8.28303,115.463656,-5485,8.396395523
1.66481252,5:18:17 PM,2017,10,18,-8.294105,115.423006,-4459,11.85767066
0.743875189,5:19:16 PM,2017,10,18,-8.292118,115.487215,-869,3.721453308
1.593409206,5:19:28 PM,2017,10,18,-8.305625,115.461971,-10747,2.806173378
1.519056023,5:21:00 PM,2017,10,18,-8.283216,115.459782,-5755,3.342501434
1.875366571,5:23:17 PM,2017,10,18,-8.295492,115.428434,-9029,4.103186388
1.920246796,5:26:11 PM,2017,10,18,-8.329827,115.397664,-3300,5.025537979
1.48518463,5:28:57 PM,2017,10,18,-8.307221,115.43007,-6549,2.423698115
1.394204175,5:37:32 PM,2017,10,18,-8.288335,115.487972,-1270,2.714401456
1.188362039,5:43:25 PM,2017,10,18,-8.290539,115.486214,-1053,3.294643326
1.633987693,5:44:25 PM,2017,10,18,-8.285367,115.48811,-1067,2.273515255
1.192503459,5:46:16 PM,2017,10,18,-8.302125,115.422762,-5909,2.094032681
1.518940485,5:46:29 PM,2017,10,18,-8.286378,115.48842,-1163,2.654155923
2.012037943,5:51:41 PM,2017,10,18,-8.339698,115.396134,-2090,3.453270715
1.813762023,5:53:30 PM,2017,10,18,-8.330979,115.394417,-5463,3.145284197
1.796803362,6:16:46 PM,2017,10,18,-8.340084,115.413346,-789,5.773629936
1.492807712,6:18:41 PM,2017,10,18,-8.343436,115.4146,-1050,3.831544126
1.836541215,6:24:02 PM,2017,10,18,-8.315317,115.44196,-9352,4.420392112
1.591974449,6:27:32 PM,2017,10,18,-8.342193,115.402759,-524,3.401125992
1.742504828,6:28:12 PM,2017,10,18,-8.328962,115.398226,-4036,3.818622811
1.547803456,6:31:57 PM,2017,10,18,-8.333582,115.396126,-4348,3.357993683
1.650319545,6:33:00 PM,2017,10,18,-8.334987,115.403385,-2429,4.205351078
2.046013241,6:34:00 PM,2017,10,18,-8.321515,115.399495,-4583,8.858409607
2.022168797,6:35:00 PM,2017,10,18,-8.308203,115.446737,-9477,4.112111956
1.293330081,6:36:12 PM,2017,10,18,-8.285752,115.49047,-1346,2.218164352
1.568167622,6:41:52 PM,2017,10,18,-8.338494,115.402344,-2038,3.26514696
1.827460674,6:44:50 PM,2017,10,18,-8.325378,115.399406,-4487,4.973983947
2.428807922,6:45:18 PM,2017,10,18,-8.304032,115.409481,-8920,24.95241704
1.756939568,6:56:15 PM,2017,10,18,-8.338444,115.399674,-1916,7.203879768
1.544409706,6:59:00 PM,2017,10,18,-8.337638,115.403703,-2396,2.357734565
2.423738395,7:00:31 PM,2017,10,18,-8.289222,115.436206,-7210,17.6373581
2.286444615,7:07:33 PM,2017,10,18,-8.322506,115.396948,-4980,11.93874653
